OBJECTID,Elevation,name,SHAPESTArea,SHAPESTLength
62,747.5246582,St Matthew Catholic Church,4169.39498720897,352.077902385673
63,724.80780029,Grace Community Church,143.121072510755,47.8593462097953
64,762.7322998,Faith United Methodist Church,52230.7262190643,1565.57345948112
65,769.81634521,Faith United Methodist Church,2489.40870516916,214.226937935441
66,730.77307128,Grace Community Church,11762.5672197473,524.19255095387
67,745.18511962,St Matthew Catholic Church,7964.38934223459,595.397309341913
68,730.13146972,Westminster Presbyterian Church,15450.4798783934,795.456343726681
69,730.35864257,First Church of the Nazarene,1487.44668672915,166.356281956377
70,735.05090332,Bible Baptist Church,2068.99169257778,203.848607177043
71,756.47894287,Champaign Alliance Church,2690.86798674979,240.892384236783
72,757.17321777,First Church of the Nazarene,8561.56844827156,459.321380522373
73,735.37304687,Stratford Park Bible Chapel,16895.1504291767,686.726011353826
74,748.70098876,Bible Baptist Church,24877.3035323576,897.760656529957
75,785.28521728,Hessel Park Christian Reformed Church,4484.51118102393,312.401602394504
76,741.99279785,Liberty Temple Church of God in Christ,3624.31320769589,265.375022182738
77,775.31939697,St Peters Church of Christ,3135.12635383544,267.118802026878
78,773.05511474,St Peters Church of Christ,935.422072999334,125.243900464735
79,800.1730957,St Peters Church of Christ,13756.6354094189,768.304875086427
80,729.72961425,First Church of God,268.758965913285,67.5203915053575
81,771.13128662,Champaign Church of Christ,14441.3775918138,669.423747870422
82,785.80572509,Champaign Alliance Church,10762.042012859,506.582862157135
83,734.00207519,First Church of God,2547.34192765838,213.06957447638
84,734.45812988,First Church of God,3592.52611141257,309.959117547013
85,790.75250244,Prairie Zen Center,2143.14915327124,219.575533845634
86,778.62701416,Prairie Zen Center,484.900290233938,89.197632343878
87,765.80242919,St Johns Lutheran Church,45340.6914083455,1576.35403427231
88,768.21734619,St Johns Lutheran Church,3486.61015677615,326.962501146332
89,798.14355468,Primitive Baptist Church,2196.12312284393,197.716024154536
90,795.63574218,Grace Evangelical Lutheran Church of Champaign,18496.4975174223,806.843864639987
91,785.45697021,Champaign Seventh Day Adventist Church,4952.49766661159,342.164884309612
92,753.58062744,Holy Cross Catholic Church,699.29753382401,105.789315994181
93,758.66052246,Holy Cross Catholic Church,1418.15751996748,161.005483608762
94,749.47680664,Holy Cross Catholic Church,555.914605644259,94.3492920515557
95,747.99829101,Holy Cross Catholic Church,253.4796584546,65.632346983097
96,760.2345581,Holy Cross Catholic Church,1084.14521540141,134.88493123876
97,791.4208374,Holy Cross Catholic Church,21169.8803102293,1008.2087444473
98,780.77301025,West Side Church of Christ,1699.28189566552,195.761923727645
99,771.81311035,Greater Mt Calvary Holy Church of IL,1263.59471553815,152.398555316009
100,768.70849609,Greater Mt Calvary Holy Church of IL,490.887313695631,88.7709776218114
101,769.17755126,Greater Mt Calvary Holy Church of IL,6327.28078778117,334.479861599628
102,769.95672607,New Hope Church of God in Christ,1094.79034530382,132.358721014261
103,765.26330566,New Hope Church of God in Christ,461.332862762984,86.0228172174608
104,767.06323242,New Hope Church of God in Christ,11164.3174153014,427.815156117658
105,771.94519042,New Live of Champaign United Pentecostal Church,3527.59563318525,334.491073166775
106,772.26110839,Jericho Missionary Baptist Church,14722.2935874355,608.962117534692
107,763.65472412,Northside Church of Christ,7261.37058354923,466.654634268015
108,787.78485107,Jehovahs Witnesses,8441.58661131384,457.283222189034
109,822.87988281,New Horizon United Methodist Church,206.803920505915,58.0671050838207
110,827.26623535,New Horizon United Methodist Church,30553.9659763625,985.289173950295
111,785.90002441,St John the Divine Episcopal Church,4565.77475400688,333.455559386761
112,769.38000488,St Johns Catholic Church,3259.50640188041,232.567113496093
113,745.28997802,St Johns Catholic Church,1573.56256451094,173.42742747371
114,757.04998779,St Johns Catholic Church,2615.40870298116,207.94897197566
115,750.71002197,St Andrew's Lutheran Church,5070.47980493851,345.874302668708
116,757.9500122,Lutheran Campus Center,6569.83712730294,434.059421960778
117,761.3460083,New Covenant Fellowship Church,8447.28863140978,389.229524968843
118,747.23730468,St Matthew Catholic Church,32499.446611265,1023.12049378203
119,0,First Christian Church,51407.5532964343,1058.67413759593
120,0,First Christian Church,44277.7526744477,1147.15164484068
121,0,First Christian Church,3077.17288618011,234.025711677797
122,744.35809326,Faith Baptist Church,2033.84707879771,189.41847126851
123,747.66613769,Windsor Road Christian Church,35394.1924881922,1070.90007852885
124,762.9389038,Curtis Road Church of God,2371.49208617995,212.4009599187
125,761.83251953,Curtis Road Church of God,139.091201287527,47.2189914508013
126,770.10223388,Curtis Road Church of God,18446.6773867121,682.76221579899
127,741.39147949,Friendship Lutheran Church of Joy,6219.54680200825,355.89751073056
128,742.94396972,New House of Prayer,1427.74947449881,160.392145507907
129,789.41442871,Catholic Diocese oF Peoria,67.2276202406711,33.7031997815107
130,782.64160156,Catholic Diocese oF Peoria,124.350763383045,44.6515512333262
131,782.28131103,Catholic Diocese oF Peoria,996.359465627777,128.325656137427
132,799.93426513,Catholic Diocese oF Peoria,4688.91776271169,291.352475998562
133,790.08746337,Catholic Diocese oF Peoria,54163.7500711651,1466.6979539874
134,781.2144165,Catholic Diocese oF Peoria,168.737727902341,53.1803833624595
135,781.85449218,Catholic Diocese oF Peoria,255.87971665621,77.7247103051549
136,781.66119384,Catholic Diocese oF Peoria,188.325789830306,61.154244462608
